UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='android.widget.LinearLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/action_bar_root')
UIElement(text='', content_description='', class_name='android.widget.FrameLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=0, y_max=2400), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='android:id/content')
UIElement(text='', content_description='', class_name='android.view.ViewGroup', bbox=BoundingBox(x_min=0, x_max=1080, y_min=128, y_max=2400), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=128, y_max=2400), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_coordinator')
UIElement(text='', content_description='', class_name='android.view.ViewGroup', bbox=BoundingBox(x_min=0, x_max=1080, y_min=128, y_max=296), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=128, y_max=296), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_toolbar')
UIElement(text='', content_description='', class_name='android.widget.ImageButton', bbox=BoundingBox(x_min=0, x_max=147, y_min=138, y_max=285), bbox_pixels=BoundingBox(x_min=0, x_max=147, y_min=138, y_max=285), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='')
UIElement(text='New Event', content_description='', class_name='android.widget.TextView', bbox=BoundingBox(x_min=157, x_max=414, y_min=175, y_max=249), bbox_pixels=BoundingBox(x_min=157, x_max=414, y_min=175, y_max=249), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='', class_name='androidx.appcompat.widget.LinearLayoutCompat', bbox=BoundingBox(x_min=953, x_max=1080, y_min=138, y_max=285), bbox_pixels=BoundingBox(x_min=953, x_max=1080, y_min=138, y_max=285), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='')
UIElement(text='', content_description='Save', class_name='android.widget.Button', bbox=BoundingBox(x_min=953, x_max=1080, y_min=148, y_max=274), bbox_pixels=BoundingBox(x_min=953, x_max=1080, y_min=148, y_max=274), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/save')
UIElement(text='', content_description='', class_name='android.widget.ScrollView', bbox=BoundingBox(x_min=0, x_max=1080, y_min=296, y_max=2400), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=296, y_max=2400), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=True, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_nested_scrollview')
UIElement(text='', content_description='', class_name='android.widget.RelativeLayout', bbox=BoundingBox(x_min=0, x_max=1080, y_min=296, y_max=2400), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=296, y_max=2400), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_holder')
UIElement(text='Meeting with John', content_description='', class_name='android.widget.EditText', bbox=BoundingBox(x_min=42, x_max=1038, y_min=338, y_max=454), bbox_pixels=BoundingBox(x_min=42, x_max=1038, y_min=338, y_max=454), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_title')
UIElement(text='Conference Room A', content_description='', class_name='android.widget.EditText', bbox=BoundingBox(x_min=42, x_max=922, y_min=496, y_max=612), bbox_pixels=BoundingBox(x_min=42, x_max=922, y_min=496, y_max=612), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_location')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=922, x_max=1038, y_min=496, y_max=612), bbox_pixels=BoundingBox(x_min=922, x_max=1038, y_min=496, y_max=612), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_show_on_map')
UIElement(text='Discuss project progress and assign tasks.\n', content_description='', class_name='android.widget.EditText', bbox=BoundingBox(x_min=42, x_max=1038, y_min=654, y_max=823), bbox_pixels=BoundingBox(x_min=42, x_max=1038, y_min=654, y_max=823), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=True, is_focusable=True, is_long_clickable=True, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_description')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=0, x_max=1080, y_min=865, y_max=867), bbox_pixels=BoundingBox(x_min=0, x_max=1080, y_min=865, y_max=867), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_description_divider')
UIElement(text='', content_description='', class_name='android.widget.ImageView', bbox=BoundingBox(x_min=32, x_max=148, y_min=899, y_max=1067), bbox_pixels=BoundingBox(x_min=32, x_max=148, y_min=899, y_max=1067), hint_text=None, is_checked=False, is_checkable=False, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=False, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_time_image')
UIElement(text='', content_description='', class_name='android.widget.RelativeLayout', bbox=BoundingBox(x_min=159, x_max=1080, y_min=899, y_max=1067), bbox_pixels=BoundingBox(x_min=159, x_max=1080, y_min=899, y_max=1067), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_all_day_holder')
UIElement(text='All-day', content_description='', class_name='android.widget.CheckBox', bbox=BoundingBox(x_min=159, x_max=1038, y_min=920, y_max=1046), bbox_pixels=BoundingBox(x_min=159, x_max=1038, y_min=920, y_max=1046), hint_text=None, is_checked=False, is_checkable=True, is_clickable=False, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_all_day')
UIElement(text='April 8 (Tue)', content_description='', class_name='android.widget.TextView', bbox=BoundingBox(x_min=159, x_max=444, y_min=1067, y_max=1212), bbox_pixels=BoundingBox(x_min=159, x_max=444, y_min=1067, y_max=1212), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_start_date')
UIElement(text='14:00', content_description='', class_name='android.widget.TextView', bbox=BoundingBox(x_min=864, x_max=1059, y_min=1067, y_max=1212), bbox_pixels=BoundingBox(x_min=864, x_max=1059, y_min=1067, y_max=1212), hint_text=None, is_checked=False, is_checkable=False, is_clickable=True, is_editable=None, is_enabled=True, is_focused=False, is_focusable=True, is_long_clickable=False, is_scrollable=False, is_selected=False, is_visible=True, package_name='com.simplemobiletools.calendar.pro', resource_name=None, tooltip=None, resource_id='com.simplemobiletools.calendar.pro:id/event_start_time')
